order_id,order_date,region,product,quantity,revenue
ORD000001,2025-06-05 23:59:45.645053,North,Paneer Curry Ready Meal,29,10536.57
ORD000002,2025-05-07 23:59:45.645053,Central,Soy Sauce 200ml,50,17244.0
ORD000003,2025-12-03 23:59:45.645053,North,Soy Sauce 200ml,1,260.74
ORD000004,2025-06-05 23:59:45.645053,East,Cheese Spread 100g,29,8092.160000000001
ORD000005,2025-06-28 23:59:45.645053,South,Chicken Biryani Ready Meal,15,3943.6500000000005
ORD000006,2025-07-28 23:59:45.645053,West,Paneer Curry Ready Meal,16,5173.44
ORD000007,2025-04-22 23:59:45.645053,West,Tomato Ketchup 500g,18,8390.699999999999
ORD000004,2026-01-03 23:59:45.645053,Central,Cheese Spread 100g,17,6502.84
ORD000009,2025-07-03 23:59:45.645053,West,Biscuits 200g,16,5470.24
ORD000010,2025-02-06 23:59:45.645053,South,Cheese Spread 100g,9,1702.6200000000001
ORD000011,2025-07-15 23:59:45.645053,North,Yogurt 500g,35,6878.55
ORD000012,2025-12-31 23:59:45.645053,South,Tomato Ketchup 500g,48,4121.28
ORD000013,2025-07-07 23:59:45.645053,South,Yogurt 500g,27,9707.31
ORD000014,2025-04-07 23:59:45.645053,,Cola 500ml,39,14490.45
ORD000015,2025-09-15 23:59:45.645053,East,Mango Juice 1L,-2,-291.54
ORD000016,2025-05-10 23:59:45.645053,West,Chili Sauce 250g,48,19613.760000000002
ORD000017,2025-08-08 23:59:45.645053,South,Chili Sauce 250g,35,3595.55
ORD000018,2026-01-29 23:59:45.645053,West,Cheese Spread 100g,37,14477.359999999999
ORD000019,2026-01-01 23:59:45.645053,North,Chili Sauce 250g,21,6208.02
ORD000020,2025-09-25 23:59:45.645053,North,Yogurt 500g,21,2604.63
ORD000021,2025-04-09 23:59:45.645053,North,Yogurt 500g,50,12915.0
ORD000022,,South,Mango Juice 1L,9,3983.58
ORD000023,2025-07-10 23:59:45.645053,West,Chicken Biryani Ready Meal,5,2427.95
ORD000024,2025-09-28 23:59:45.645053,North,Cola 500ml,2,117.06
ORD000025,2025-12-05 23:59:45.645053,Central,Mango Juice 1L,37,15059.74
ORD000026,2025-02-22 23:59:45.645053,East,Tomato Ketchup 500g,23,4714.31
ORD000027,2025-12-23 23:59:45.645053,East,Chicken Biryani Ready Meal,42,5129.88
ORD000028,2026-01-09 23:59:45.645053,South,Water Bottle 1L,39,2503.8
ORD000029,2025-09-10 23:59:45.645053,Central,Dal Tadka Ready Meal,12,1761.96
ORD000030,2025-11-29 23:59:45.645053,North,Chicken Biryani Ready Meal,37,17596.46
ORD000031,2025-02-18 23:59:45.645053,East,Mango Juice 1L,9,2994.4800000000005
ORD000032,2025-11-25 23:59:45.645053,North,Biscuits 200g,32,15494.4
ORD000033,2025-09-11 23:59:45.645053,North,Soy Sauce 200ml,25,9501.0
ORD000034,2025-05-22 23:59:45.645053,South,Tomato Ketchup 500g,28,5087.32
ORD000035,2025-02-18 23:59:45.645053,East,Tomato Ketchup 500g,23,8659.5
ORD000036,2025-09-13 23:59:45.645053,East,Cheese Spread 100g,1,92.17
ORD000037,2025-09-18 23:59:45.645053,Central,Biscuits 200g,2,818.62
ORD000038,2025-09-03 23:59:45.645053,South,Potato Chips 50g,32,1318.4
ORD000039,2025-12-20 23:59:45.645053,Central,Chili Sauce 250g,38,12009.52
ORD000040,2026-01-14 23:59:45.645053,East,Chicken Biryani Ready Meal,22,962.06
ORD000041,2025-05-05 23:59:45.645053,North,Cola 500ml,46,9712.9
ORD000042,2025-07-05 23:59:45.645053,East,Chili Sauce 250g,37,15851.54
ORD000043,2025-07-20 23:59:45.645053,West,Cola 500ml,18,6759.36
ORD000044,2025-07-31 23:59:45.645053,West,Biscuits 200g,6,1603.98
ORD000045,2025-02-07 23:59:45.645053,Central,Cheese Spread 100g,37,15986.22
ORD000046,2025-07-05 23:59:45.645053,Central,Namkeen Mix 100g,31,13511.66
ORD000047,2025-10-16 23:59:45.645053,South,Chicken Biryani Ready Meal,44,9498.28
ORD000048,,Central,Cheese Spread 100g,34,16468.58
ORD000049,2025-10-01 23:59:45.645053,South,Dal Tadka Ready Meal,16,2246.56
ORD000050,2026-01-27 23:59:45.645053,North,Biscuits 200g,23,1505.3500000000001
ORD000051,2025-08-07 23:59:45.645053,East,Yogurt 500g,35,-16309.300000000001
ORD000052,2026-01-08 23:59:45.645053,South,Mango Juice 1L,10,4104.5
ORD000053,2025-11-29 23:59:45.645053,Central,Paneer 200g,20,2250.2000000000003
ORD000054,2025-09-04 23:59:45.645053,Central,Milk 1L,48,9214.56
ORD000055,2025-07-11 23:59:45.645053,North,Paneer 200g,3,936.48
ORD000056,2025-12-27 23:59:45.645053,South,Dal Tadka Ready Meal,3,623.9399999999999
ORD000057,2025-05-15 23:59:45.645053,East,Cheese Spread 100g,38,7607.22
ORD000058,2025-10-10 23:59:45.645053,Central,Chicken Biryani Ready Meal,28,1275.96
ORD000059,,West,Tomato Ketchup 500g,50,7548.999999999999
ORD000060,2025-07-02 23:59:45.645053,West,Paneer 200g,6,2255.2799999999997
ORD000061,2026-01-01 23:59:45.645053,East,Tomato Ketchup 500g,26,10092.94
ORD000062,2025-04-16 23:59:45.645053,West,Namkeen Mix 100g,14,479.08
ORD000063,2025-04-30 23:59:45.645053,Central,Milk 1L,26,10091.64
ORD000064,2025-04-26 23:59:45.645053,North,Mango Juice 1L,39,7078.889999999999
ORD000065,2025-02-07 23:59:45.645053,North,Potato Chips 50g,35,3069.85
ORD000066,2025-06-23 23:59:45.645053,North,Paneer 200g,49,2810.64
ORD000067,2025-12-05 23:59:45.645053,East,Dal Tadka Ready Meal,21,4486.02
ORD000068,invalid_date,East,Yogurt 500g,22,8802.64
ORD000069,2025-07-01 23:59:45.645053,North,Soy Sauce 200ml,49,2584.75
ORD000070,invalid_date,North,Chicken Biryani Ready Meal,40,12747.2
ORD000071,2026-01-25 23:59:45.645053,,Potato Chips 50g,18,3904.7400000000002
ORD000072,2025-11-11 23:59:45.645053,West,Tomato Ketchup 500g,36,5810.76
ORD000073,2025-05-05 23:59:45.645053,,Tomato Ketchup 500g,44,21135.4
ORD000074,2025-02-04 23:59:45.645053,South,Cheese Spread 100g,38,14630.38
ORD000075,2025-09-29 23:59:45.645053,West,Chili Sauce 250g,38,5060.459999999999
ORD000076,2025-04-19 23:59:45.645053,South,Yogurt 500g,45,16771.95
ORD000077,2025-08-09 23:59:45.645053,North,Cheese Spread 100g,12,2149.08
ORD000078,2025-05-06 23:59:45.645053,North,Cola 500ml,47,19478.21
ORD000079,2025-10-22 23:59:45.645053,Central,Biscuits 200g,37,1744.9199999999998
ORD000080,2025-04-28 23:59:45.645053,North,Paneer Curry Ready Meal,20,4180.400000000001
